n,setor,subsecao,afirmacao,score,interview,ts,dim,dim_nome,maturity,confidence,termos,paraphrase,decisao,ancora_substituta,nota,orfa
21,Setor Público,3.1.4. Governança e Coordenação,"Fragmentação e Integração: Não há uma secretaria ou departamento central que coordene as ações de forma global. As responsabilidades estão distribuídas, com destaque para o IAM (Instituto Ambiental), a SEMOP (Secretaria de Obras), a Defesa Civil e a Secretaria de Infraestrutura. A integração, embora reconhecida como desafiadora devido à descentralização, tem melhorado com reuniões semanais promovidas pela gestão, facilitando a comunicação entre os diretores.",0.152,ENT-008,00:31:47,1.2.1,Responsabilidades institucionais para implementação climática,inexistente,alta,ambiental|infraestrutura|obras|responsabilidades|secretaria,"ACHADO ESTRUTURANTE. A atribuição sobre a drenagem se define pelo domínio do território e não pela natureza do serviço: dentro de área de preservação, a rede vira responsabilidade ambiental. Cria uma zona sem titular efetivo exatamente no trecho onde a água chega ao rio. Dimensão «Muito alta».",,,,
22,Setor Público,3.1.4. Governança e Coordenação,"Sobreposição de Funções: O IAM acaba assumindo funções operacionais que seriam de outras secretarias, especialmente em áreas de preservação permanente, gerando sobrecarga e retrabalho.",0.2,ENT-008,00:37:15,1.2.2,Capacidade institucional para executar ações climáticas,inexistente,alta,acaba|funcoes|operacionais,"Acúmulo de funções regulatórias, operacionais e de planejamento em uma mesma unidade, acrescido do resíduo institucional que nenhuma outra pasta assume. O órgão que deveria formular a política climática é o mesmo que opera parque, licencia e fiscaliza.",,,,
22,Setor Público,3.1.4. Governança e Coordenação,"Sobreposição de Funções: O IAM acaba assumindo funções operacionais que seriam de outras secretarias, especialmente em áreas de preservação permanente, gerando sobrecarga e retrabalho.",0.133,ENT-004,00:44:26,1.2.2,Capacidade institucional para executar ações climáticas,inexistente,alta,acaba|sobrecarga,"A sobrecarga por demanda reativa impede a produção de solução técnica para os próprios pontos críticos identificados. É a mesma barreira de capacidade administrativa nomeada em ENT-003 para o IPTU Verde, aqui aplicada ao projeto de drenagem: o limite não é orçamentário nem normativo, é de tempo técnico disponível.",,,,
22,Setor Público,3.1.4. Governança e Coordenação,"Sobreposição de Funções: O IAM acaba assumindo funções operacionais que seriam de outras secretarias, especialmente em áreas de preservação permanente, gerando sobrecarga e retrabalho.",0.133,ENT-013,00:22:00,1.2.2,Capacidade institucional para executar ações climáticas,em_implementacao,alta,outras|secretarias,"Reestruturação administrativa recente do órgão de defesa civil, com introdução de método de mapeamento e de integração de dados. Converge com ENT-012 sobre a recomposição institucional de 2025 e mostra um caso em que ela produziu capacidade nova.",,,,
23,Setor Público,3.1.4. Governança e Coordenação,"Articulação Federativa: A relação com o governo estadual, federal e a Câmara Municipal é descrita como tranquila e eficiente. A participação na Frente Nacional de Prefeitos (FNP) tem sido um canal positivo para a articulação política, embora haja preocupação com potenciais mudanças no governo federal.",0.417,ENT-015,00:40:41,4.1.2,Coordenação com Governo Federal,efetivo,alta,articulacao|canal|federal|frente|governo|municipal|nacional|prefeitos,"ACHADO DECISIVO DE COORDENAÇÃO VERTICAL. O acesso ao governo federal se dá por meio de posição de liderança em entidade nacional de municípios, não pela via municipal ordinária. Explica a articulação da taxa de drenagem e diverge frontalmente de ENT-004 («a nível federal não conhecemos ninguém») — o canal existe e está concentrado em uma pessoa, o que o torna eficaz e não transferível.",,,,
23,Setor Público,3.1.4. Governança e Coordenação,"Articulação Federativa: A relação com o governo estadual, federal e a Câmara Municipal é descrita como tranquila e eficiente. A participação na Frente Nacional de Prefeitos (FNP) tem sido um canal positivo para a articulação política, embora haja preocupação com potenciais mudanças no governo federal.",0.292,ENT-001-ENT-002,00:37:53,4.1.1,Coordenação com Governo do Paraná/SEDEST,em_implementacao,alta,articulacao|descrita|estadual|federal|governo|politica|relacao,"A relação com estado e União é descrita como boa e fluida, mas o fluxo de recurso climático ainda não se materializou no ponto do município onde ele seria operado. Anúncio de política nos níveis superiores não chegou como convênio ou emenda.",,,,
23,Setor Público,3.1.4. Governança e Coordenação,"Articulação Federativa: A relação com o governo estadual, federal e a Câmara Municipal é descrita como tranquila e eficiente. A participação na Frente Nacional de Prefeitos (FNP) tem sido um canal positivo para a articulação política, embora haja preocupação com potenciais mudanças no governo federal.",0.25,ENT-008,00:34:33,4.1.1,Coordenação com Governo do Paraná/SEDEST,em_implementacao,alta,articulacao|canal|estadual|federal|governo|relacao,"A articulação vertical se concentra no Estado, e a federal é a mais distante — por natureza da ação e por ausência de projeto habilitado. Dimensão «Muito alta»: a relação com o Paraná é o canal efetivo, e é por ele que passam os fundos citados.",,,,
24,Setor Público,3.1.5. Ações e Soluções Propostas,"Obras Estruturantes: Foco em obras de drenagem, desobstrução de canais e soluções de engenharia verde.",0.333,ENT-001-ENT-002,00:26:51,2.1.6,Estratégia financeira para mitigação e baixo carbono,em_elaboracao,alta,engenharia|obras|verde,"Critérios construtivos de baixo carbono começam a entrar nas obras novas por decisão de projeto, não por norma. O limite declarado é de capacidade técnica interna: a equipe de engenharia ainda está aprendendo a especificar.",,,,
24,Setor Público,3.1.5. Ações e Soluções Propostas,"Obras Estruturantes: Foco em obras de drenagem, desobstrução de canais e soluções de engenharia verde.",0.333,ENT-001-ENT-002,00:15:36,3.1.1,Sistema municipal de dados climáticos e territoriais,em_implementacao,media,canais|desobstrucao|obras,"O único sistema de dados citado nesta sessão é o de reporte à Defesa Civil, alimentado com regularidade. É reporte a sistema externo, não sistema municipal de dados territoriais — a base própria segue sem menção.",,,,
24,Setor Público,3.1.5. Ações e Soluções Propostas,"Obras Estruturantes: Foco em obras de drenagem, desobstrução de canais e soluções de engenharia verde.",0.222,ENT-001-ENT-002,00:35:20,1.2.1,Responsabilidades institucionais para implementação climática,em_implementacao,alta,drenagem|obras,As responsabilidades setoriais são claras e prontamente identificadas por um servidor de área-meio — o que indica desenho institucional legível. O que não existe é competência climática transversal: cada órgão responde por um fragmento e nenhum responde pelo conjunto.,,,,
25,Setor Público,3.1.5. Ações e Soluções Propostas,"Projetos Piloto: Descarbonização da frota com biodiesel e projetos de ""núcleos de bairro"" para identificação de riscos.",0.444,ENT-003,00:22:24,2.1.6,Estratégia financeira para mitigação e baixo carbono,em_implementacao,alta,biodiesel|descarbonizacao|frota|piloto,"Existe ação de mitigação em curso, mas originada em determinação individual do Chefe do Executivo e não em estratégia de baixo carbono formalizada. Coerente com a prioridade «Média» atribuída a esta dimensão em Maringá.",,,,
25,Setor Público,3.1.5. Ações e Soluções Propostas,"Projetos Piloto: Descarbonização da frota com biodiesel e projetos de ""núcleos de bairro"" para identificação de riscos.",0.333,ENT-008,00:43:40,2.1.4,Capacidade de preparar projetos para financiamento,em_implementacao,alta,descarbonizacao|frota|projetos,"Existe carteira estruturada de quatro projetos, com objetivos definidos e um deles orientado ao encerramento do aterro. Qualifica o achado de ENT-004: a ausência de carteira vale para as pastas executoras, não para o órgão ambiental — a capacidade de estruturar projeto existe, concentrada em uma unidade e em duas pessoas.",,,,
25,Setor Público,3.1.5. Ações e Soluções Propostas,"Projetos Piloto: Descarbonização da frota com biodiesel e projetos de ""núcleos de bairro"" para identificação de riscos.",0.333,ENT-015,00:47:41,1.1.1,Estratégia de mitigação com metas claras,em_implementacao,alta,biodiesel|descarbonizacao|frota,"AÇÃO DE MITIGAÇÃO EM CURSO, COM CUSTO E RISCO ASSUMIDOS. Substituição integral do diesel da frota por biocombustível, com redução declarada de 90% das emissões e exposição do orçamento à volatilidade da soja. Confirma e amplia o projeto de descarbonização citado em ENT-004 e ENT-008 — e é a decisão de mitigação de maior efeito e maior risco fiscal do corpus.",,,,
26,Setor Público,3.1.5. Ações e Soluções Propostas,Resposta a Emergências: A unificação da Defesa Civil com a Secretaria de Infraestrutura agilizou a resposta operacional a eventos climáticos.,0.545,ENT-004,00:49:29,4.1.3,"Coordenação horizontal entre IAM, IPPLAM, Fazenda, Defesa Civil, SEMOB e Educação",em_implementacao,alta,civil|defesa|infraestrutura|operacional|resposta|unificacao,"Resultado declarado da fusão: redução do tempo de resposta a evento extremo por unificação da cadeia de decisão e do parque de equipamentos. É o achado positivo mais concreto do corpus sobre coordenação horizontal, e o único com efeito operacional verificável.",,,,
26,Setor Público,3.1.5. Ações e Soluções Propostas,Resposta a Emergências: A unificação da Defesa Civil com a Secretaria de Infraestrutura agilizou a resposta operacional a eventos climáticos.,0.545,ENT-013,00:46:51,4.1.3,"Coordenação horizontal entre IAM, IPPLAM, Fazenda, Defesa Civil, SEMOB e Educação",em_implementacao,alta,civil|defesa|infraestrutura|operacional|resposta|secretaria,"TRIANGULAÇÃO CONFIRMADA. A fusão administrativa relatada em ENT-004 é confirmada pelo outro lado, com o mesmo efeito e o mesmo mecanismo: acesso direto a equipamento e equipe sem trâmite formal. É o achado positivo de coordenação horizontal mais bem evidenciado do corpus — duas fontes independentes, efeito operacional verificável. Dimensão «Muito alta».",,,,
26,Setor Público,3.1.5. Ações e Soluções Propostas,Resposta a Emergências: A unificação da Defesa Civil com a Secretaria de Infraestrutura agilizou a resposta operacional a eventos climáticos.,0.455,ENT-015,00:17:05,2.2.1,Orçamento verde / climate budget tagging,inexistente,alta,civil|defesa|infraestrutura|resposta|secretaria,"EVIDÊNCIA DEFINITIVA DA DIMENSÃO. Não há unidade orçamentária nem marcação climática; o gasto existe, está distribuído em três pastas e é identificável apenas por conhecimento pessoal de quem dirige. Confirma a resposta «nenhuma» de ENT-012 e reconcilia a divergência com ENT-013: há priorização, não há rastreabilidade. Dimensão «Muito alta».",,,,
27,Setor Público,3.1.5. Ações e Soluções Propostas,Conscientização: Necessidade de campanhas de comunicação com linguagem acessível para engajar a população e o setor privado.,0.3,ENT-003,00:46:28,4.2.1,Participação pública na agenda climática,em_implementacao,media,comunicacao|conscientizacao|populacao,"A participação social é lida como pré-condição de viabilidade dos instrumentos econômicos, não como etapa formal de processo. Convergente com a dimensão transversal de percepção social prevista no Produto 2.",,,,
27,Setor Público,3.1.5. Ações e Soluções Propostas,Conscientização: Necessidade de campanhas de comunicação com linguagem acessível para engajar a população e o setor privado.,0.3,ENT-013,00:42:25,4.2.4,Transparência e devolutiva das contribuições,em_implementacao,alta,acessivel|comunicacao|linguagem,"DIVERGÊNCIA. Avaliação positiva da comunicação municipal, inclusive climática, com prática própria de vídeos de linguagem acessível. Diverge de ENT-008, que declara não ter pessoa para comunicar e considerar a comunicação central insuficiente. As duas podem ser verdadeiras: a comunicação de emergência funciona, a comunicação da política ambiental não. Divergência preservada.",,,,
27,Setor Público,3.1.5. Ações e Soluções Propostas,Conscientização: Necessidade de campanhas de comunicação com linguagem acessível para engajar a população e o setor privado.,0.2,ENT-001-ENT-002,00:26:51,4.2.2,Engajamento do setor privado,inexistente,media,privado|setor,"O mercado local de execução ainda não está formado para obra de baixo carbono. A restrição está do lado da oferta, não só da demanda pública — o que significa que exigir critério verde em licitação, isoladamente, pode esvaziar certames.",,,,
28,Setor Privado,"3.2.1. Política Climática: incorporação, riscos e desafios","Riscos Climáticos com Impacto Econômico: A economia local, fortemente atrelada ao agronegócio e à tecnologia, sofre impactos diretos e indiretos com extremos climáticos (estiagem, calor excessivo, chuvas intensas, vendavais). A vulnerabilidade da rede elétrica aérea é um risco crítico que afeta toda a cadeia produtiva.",0.333,ENT-017-ENT-018,00:11:19,1.1.5,Avaliação de riscos e vulnerabilidades climáticas,inexistente,alta,agronegocio|cadeia|economia|economico|impacto|produtiva|risco|riscos,"ACHADO ECONÔMICO. O risco climático atinge Maringá indiretamente pela cadeia de fornecimento ao agronegócio, e não apenas pelo evento urbano. É a única leitura do corpus sobre transmissão setorial do risco — e amplia consideravelmente a exposição econômica da cidade em relação ao que os instrumentos municipais consideram.",,,,
28,Setor Privado,"3.2.1. Política Climática: incorporação, riscos e desafios","Riscos Climáticos com Impacto Econômico: A economia local, fortemente atrelada ao agronegócio e à tecnologia, sofre impactos diretos e indiretos com extremos climáticos (estiagem, calor excessivo, chuvas intensas, vendavais). A vulnerabilidade da rede elétrica aérea é um risco crítico que afeta toda a cadeia produtiva.",0.267,ENT-017-ENT-018,00:09:40,1.1.5,Avaliação de riscos e vulnerabilidades climáticas,em_implementacao,alta,calor|chuvas|economico|estiagem|extremos|impacto|risco|riscos,"O duplo regime hídrico identificado pela consultoria em ENT-010-ENT-011 é lido, do lado financeiro, como risco econômico regional. Confirma que a leitura de risco de Maringá é consistente entre fontes técnicas independentes.",,,,
28,Setor Privado,"3.2.1. Política Climática: incorporação, riscos e desafios","Riscos Climáticos com Impacto Econômico: A economia local, fortemente atrelada ao agronegócio e à tecnologia, sofre impactos diretos e indiretos com extremos climáticos (estiagem, calor excessivo, chuvas intensas, vendavais). A vulnerabilidade da rede elétrica aérea é um risco crítico que afeta toda a cadeia produtiva.",0.2,ENT-016,00:09:11,1.1.5,Avaliação de riscos e vulnerabilidades climáticas,em_implementacao,alta,chuvas|economia|economico|impacto|riscos|vulnerabilidade,"O setor econômico identifica dois vetores de impacto que o corpus público não trata: abastecimento e produção agrícola regional. Converge com a vulnerabilidade de captação relatada em ENT-005, ENT-009 e ENT-014, e acrescenta a dimensão econômica regional — ausente de todos os instrumentos municipais citados. SESSÃO SEM TCLE.",,,,
29,Setor Privado,"3.2.1. Política Climática: incorporação, riscos e desafios","Desafios na Arborização e na Gestão de Resíduos: Há um consenso sobre a necessidade de um sistema contínuo de mapeamento, poda e substituição de árvores. A destinação do lixo é apontada como uma prioridade, com críticas à permanência de um lixão na cidade e à falta de adoção de sistemas de reciclagem avançados.",0.333,ENT-016,00:15:38,2.1.5,Estratégia financeira para adaptação e resiliência,inexistente,alta,apontada|cidade|destinacao|lixao|lixo|prioridade|reciclagem|residuos,"Prioridade de investimento apontada pelo setor privado: encerramento do aterro e usina de tratamento com recuperação de material. Converge com o programa de resíduos descrito em ENT-008 e ENT-013 — e mostra que a agenda de resíduos tem apoio empresarial declarado, o que a torna a candidata mais viável a investimento privado. SESSÃO SEM TCLE.",,,,
29,Setor Privado,"3.2.1. Política Climática: incorporação, riscos e desafios","Desafios na Arborização e na Gestão de Resíduos: Há um consenso sobre a necessidade de um sistema contínuo de mapeamento, poda e substituição de árvores. A destinação do lixo é apontada como uma prioridade, com críticas à permanência de um lixão na cidade e à falta de adoção de sistemas de reciclagem avançados.",0.167,ENT-016,00:16:48,1.1.4,Estratégia de adaptação com metas claras,em_elaboracao,alta,arvores|mapeamento|poda|sistema,Convergência do setor privado com a proposta de inventário e manejo preventivo de ENT-007 e com o cadastro arbóreo em atualização relatado em ENT-015 — e a menção a mapeamento anterior reforça a hipótese de ENT-010-ENT-011 de que o inventário já existe e não circula. SESSÃO SEM TCLE.,,,,
29,Setor Privado,"3.2.1. Política Climática: incorporação, riscos e desafios","Desafios na Arborização e na Gestão de Resíduos: Há um consenso sobre a necessidade de um sistema contínuo de mapeamento, poda e substituição de árvores. A destinação do lixo é apontada como uma prioridade, com críticas à permanência de um lixão na cidade e à falta de adoção de sistemas de reciclagem avançados.",0.125,ENT-009,00:05:44,1.1.5,Avaliação de riscos e vulnerabilidades climáticas,em_implementacao,alta,arborizacao|arvores|substituicao,"Causa técnica da queda de árvores identificada na escolha de espécies exóticas de enraizamento superficial no projeto paisagístico original. É a explicação estrutural para a convergência de quatro sessões sobre arborização como vulnerabilidade — e implica substituição de estoque, não apenas manejo. SESSÃO SEM TCLE.",,,,
30,Setor Privado,"3.2.1. Política Climática: incorporação, riscos e desafios","Falta de Preparo Preventivo: A prefeitura é vista como reativa, sem preparo preventivo para lidar com eventos climáticos, mesmo diante de alertas meteorológicos. A ""celeridade"" é um ponto central da crítica: o poder público é lento para agir, o que agrava os riscos econômicos e sociais.",0.167,ENT-009,00:17:06,1.1.5,Avaliação de riscos e vulnerabilidades climáticas,inexistente,alta,critica|mesmo|ponto|riscos,"Segunda confirmação independente do desabastecimento por alagamento da captação (a primeira é ENT-005), com a mesma proposta de redundância entre bacias. Duas fontes de setores diferentes descrevendo o mesmo evento e a mesma solução — a convergência mais específica do corpus sobre infraestrutura crítica. SESSÃO SEM TCLE.",,,,
30,Setor Privado,"3.2.1. Política Climática: incorporação, riscos e desafios","Falta de Preparo Preventivo: A prefeitura é vista como reativa, sem preparo preventivo para lidar com eventos climáticos, mesmo diante de alertas meteorológicos. A ""celeridade"" é um ponto central da crítica: o poder público é lento para agir, o que agrava os riscos econômicos e sociais.",0.167,ENT-017-ENT-018,00:34:44,4.1.1,Coordenação com Governo do Paraná/SEDEST,inexistente,alta,poder|ponto|publico|vista,"Recomendação de indução estadual da agenda climática municipal. Converge com a estratégia de ENT-015 de buscar regulamentação federal para a taxa de drenagem — em ambos os casos, o ente superior é acionado para destravar o que não avança localmente. Dimensão «Muito alta».",,,,
30,Setor Privado,"3.2.1. Política Climática: incorporação, riscos e desafios","Falta de Preparo Preventivo: A prefeitura é vista como reativa, sem preparo preventivo para lidar com eventos climáticos, mesmo diante de alertas meteorológicos. A ""celeridade"" é um ponto central da crítica: o poder público é lento para agir, o que agrava os riscos econômicos e sociais.",0.125,ENT-017-ENT-018,00:29:23,2.6.2,Blended finance para projetos climáticos,efetivo,alta,climaticos|critica|publico,"FONTE CONCRETA, REGIONAL E NÃO CITADA POR NENHUMA OUTRA SESSÃO. Banco público dos estados do Sul destina 1,5% do lucro líquido a fundo verde com editais abertos. É financiamento não reembolsável de origem regional, acessível a município e a sociedade civil — e responde à crítica de ENT-008 sobre editais nacionais de escopo piloto, por ser mais próximo e mais dirigido.",,,,
31,Setor Privado,"3.2.1. Política Climática: incorporação, riscos e desafios","Ações de Mercado Independentes: Grandes empresas estão pressionando seus fornecedores por adequação ambiental, gerando um movimento de mercado independente de ações do setor público. Isso indica que a agenda climática já é uma realidade para o setor privado, mesmo na ausência de políticas públicas robustas.",0.24,ENT-016,00:35:18,2.4.1,Mobilização de investimento privado em infraestrutura climática,inexistente,alta,ambiental|climatica|mesmo|privado|publico|setor,"BARREIRA NÚMERO UM SEGUNDO O SETOR PRIVADO, COM MEDIDA. Oito meses de espera por autorização de supressão arbórea com laudo pronto. Converge com a fila de poda relatada em ENT-007 e com a restrição de equipe do órgão ambiental descrita em ENT-008 — a mesma escassez de capacidade que atrasa o serviço público atrasa o investimento privado, e produz aqui o mesmo efeito perverso: pressão pela via informal. SESSÃO SEM TCLE.",,,,
31,Setor Privado,"3.2.1. Política Climática: incorporação, riscos e desafios","Ações de Mercado Independentes: Grandes empresas estão pressionando seus fornecedores por adequação ambiental, gerando um movimento de mercado independente de ações do setor público. Isso indica que a agenda climática já é uma realidade para o setor privado, mesmo na ausência de políticas públicas robustas.",0.24,ENT-016,00:21:33,2.4.1,Mobilização de investimento privado em infraestrutura climática,inexistente,alta,acoes|ambiental|climatica|empresas|privado|setor,"O retorno reputacional é apontado como motor do investimento privado ambiental, desde que haja instrumento que o reconheça. Converge com o prêmio setorial de ENT-015 e com a adesão ao Pacto Global: o setor já responde a incentivo reputacional, e o município ainda não o oferece formalmente. SESSÃO SEM TCLE.",,,,
31,Setor Privado,"3.2.1. Política Climática: incorporação, riscos e desafios","Ações de Mercado Independentes: Grandes empresas estão pressionando seus fornecedores por adequação ambiental, gerando um movimento de mercado independente de ações do setor público. Isso indica que a agenda climática já é uma realidade para o setor privado, mesmo na ausência de políticas públicas robustas.",0.24,ENT-017-ENT-018,00:29:23,4.2.2,Engajamento do setor privado,em_implementacao,alta,adequacao|climatica|fornecedores|grandes|privado|setor,"MECANISMO DE ARRASTO NA CADEIA. A exigência climática de grandes compradores força a adequação de fornecedores locais. Converge com a alta adesão empresarial ao Pacto Global relatada em ENT-016 — parte do engajamento privado de Maringá é induzida por cadeia, não por política municipal, e essa indução é uma alavanca disponível.",,,,
32,Setor Privado,"3.2.2. Finanças: orçamento, financiamento e captação de recursos","Necessidade de Incentivos Econômicos: O setor privado exige incentivos econômicos para investir em projetos ambientais. Políticas de incentivo (isenções fiscais, potencial construtivo) geram melhores resultados do que a fiscalização punitiva baseada em multas.",0.318,ENT-016,00:21:33,2.3.3,Diversificação de receitas ambientais/climáticas,inexistente,alta,ambientais|construtivo|exige|fiscalizacao|incentivo|politicas|potencial,"ACHADO ESTRUTURANTE. Transferência de potencial construtivo e isenção fiscal condicionadas à conservação de área ambiental privada, com prazo. Converte passivo em ativo, substitui fiscalização por incentivo e não exige desembolso do município. Converge com a outorga onerosa já regulamentada em ENT-015 e com o IPTU Verde empresarial de ENT-012 — três desenhos convergentes de compensação por conservação. SESSÃO SEM TCLE.",,,,
32,Setor Privado,"3.2.2. Finanças: orçamento, financiamento e captação de recursos","Necessidade de Incentivos Econômicos: O setor privado exige incentivos econômicos para investir em projetos ambientais. Políticas de incentivo (isenções fiscais, potencial construtivo) geram melhores resultados do que a fiscalização punitiva baseada em multas.",0.182,ENT-016,00:24:18,2.4.1,Mobilização de investimento privado em infraestrutura climática,inexistente,alta,incentivo|privado|punitiva|setor,"Avaliação categórica do setor privado organizado: a relação com a agenda ambiental municipal é exclusivamente punitiva. Contrasta com ENT-015, que descreve consciência privada elevada e legislação de compensação já aprovada — as duas leituras convivem se os instrumentos novos ainda não chegaram a quem os percebe. Divergência a resolver com a cronologia das leis. SESSÃO SEM TCLE.",,,,
32,Setor Privado,"3.2.2. Finanças: orçamento, financiamento e captação de recursos","Necessidade de Incentivos Econômicos: O setor privado exige incentivos econômicos para investir em projetos ambientais. Políticas de incentivo (isenções fiscais, potencial construtivo) geram melhores resultados do que a fiscalização punitiva baseada em multas.",0.136,ENT-016,00:09:11,1.1.5,Avaliação de riscos e vulnerabilidades climáticas,em_implementacao,alta,geram|privado|setor,"Sétima confirmação do par vento–arborização como risco principal, agora do setor privado organizado, somada à irregularidade sazonal da chuva. Converge com a série histórica de ENT-010-ENT-011. SESSÃO SEM TCLE.",,,,
33,Setor Privado,"3.2.2. Finanças: orçamento, financiamento e captação de recursos","Potencial das PPPs: Há um reconhecimento do potencial das PPPs para áreas essenciais (abastecimento de água, drenagem, gestão de resíduos, energia de biogás, iluminação LED, mobilidade elétrica). No entanto, a complexidade de estruturação dessas parcerias e o longo prazo de execução conflitam com a busca de gestores públicos por resultados imediatos que gerem retorno político.",0.344,ENT-017-ENT-018,00:12:54,2.4.2,"PPPs/concessões verdes para resíduos, mobilidade e infraestrutura",efetivo,alta,abastecimento|agua|biogas|drenagem|energia|gestao|iluminacao|mobilidade,"CARDÁPIO CONCRETO DE PPP CLIMÁTICA, DE QUEM AS ESTRUTURA. Sete arranjos já praticados por banco público regional, todos aplicáveis às prioridades de Maringá — drenagem, resíduos, arborização e parques. Converge com o programa de resíduos de ENT-008 e com a bacia de detenção de ENT-015, e mostra que o instrumento de financiamento para essas frentes existe e está disponível regionalmente.",,,,
33,Setor Privado,"3.2.2. Finanças: orçamento, financiamento e captação de recursos","Potencial das PPPs: Há um reconhecimento do potencial das PPPs para áreas essenciais (abastecimento de água, drenagem, gestão de resíduos, energia de biogás, iluminação LED, mobilidade elétrica). No entanto, a complexidade de estruturação dessas parcerias e o longo prazo de execução conflitam com a busca de gestores públicos por resultados imediatos que gerem retorno político.",0.25,ENT-017-ENT-018,00:15:41,2.4.2,"PPPs/concessões verdes para resíduos, mobilidade e infraestrutura",em_elaboracao,alta,agua|drenagem|eletrica|estruturacao|longo|mobilidade|ppps|residuos,"ACHADO DECISIVO. Existe modelo de PPP em estruturação para enterramento de rede elétrica em município do mesmo estado, com a recomendação técnica de combiná-lo a infraestrutura de drenagem na mesma obra. Responde diretamente à disputa registrada em ENT-005 e à proposta de estudo faseado de ENT-007 — o instrumento financeiro para a medida mais cara do corpus existe e tem precedente regional.",,,,
33,Setor Privado,"3.2.2. Finanças: orçamento, financiamento e captação de recursos","Potencial das PPPs: Há um reconhecimento do potencial das PPPs para áreas essenciais (abastecimento de água, drenagem, gestão de resíduos, energia de biogás, iluminação LED, mobilidade elétrica). No entanto, a complexidade de estruturação dessas parcerias e o longo prazo de execução conflitam com a busca de gestores públicos por resultados imediatos que gerem retorno político.",0.25,ENT-017-ENT-018,00:21:09,2.4.2,"PPPs/concessões verdes para resíduos, mobilidade e infraestrutura",em_implementacao,alta,complexidade|estruturacao|longo|mobilidade|ppps|prazo|reconhecimento|residuos,"Reconhecimento de que toda concessão climática exige tempo e estruturação, sem atalho. Reforça a recomendação de constituir capacidade permanente de preparação de projeto em vez de mobilizar equipe a cada oportunidade — que é exatamente o padrão reativo descrito em ENT-004.",,,,
34,Setor Privado,"3.2.2. Finanças: orçamento, financiamento e captação de recursos","Críticas ao IPTU Verde e Burocracia: O IPTU Verde é criticado por ser restrito a pessoas físicas (CPFs), excluindo empresas (CNPJs), e por sua burocracia excessiva. Os entrevistados defendem que o poder público abra espaço para um diálogo mais colaborativo e que simplifique os processos para destravar iniciativas privadas.",0.115,ENT-016,00:21:33,2.3.3,Diversificação de receitas ambientais/climáticas,inexistente,alta,iptu|poder|verde,"ACHADO ESTRUTURANTE. Transferência de potencial construtivo e isenção fiscal condicionadas à conservação de área ambiental privada, com prazo. Converte passivo em ativo, substitui fiscalização por incentivo e não exige desembolso do município. Converge com a outorga onerosa já regulamentada em ENT-015 e com o IPTU Verde empresarial de ENT-012 — três desenhos convergentes de compensação por conservação. SESSÃO SEM TCLE.",,,,
34,Setor Privado,"3.2.2. Finanças: orçamento, financiamento e captação de recursos","Críticas ao IPTU Verde e Burocracia: O IPTU Verde é criticado por ser restrito a pessoas físicas (CPFs), excluindo empresas (CNPJs), e por sua burocracia excessiva. Os entrevistados defendem que o poder público abra espaço para um diálogo mais colaborativo e que simplifique os processos para destravar iniciativas privadas.",0.115,ENT-016,00:27:31,2.3.1,Mobilização de receitas próprias para clima,regulamentado,alta,burocracia|iptu|verde,"SEGUNDA CONVERGÊNCIA SOBRE A LACUNA DO INSTRUMENTO. O IPTU Verde não alcança pessoa jurídica e é burocrático — mesmo diagnóstico de ENT-012, agora do lado do contribuinte empresarial. Duas fontes independentes, de setores distintos, apontam a mesma correção no único instrumento econômico-climático da cidade. SESSÃO SEM TCLE.",,,,
34,Setor Privado,"3.2.2. Finanças: orçamento, financiamento e captação de recursos","Críticas ao IPTU Verde e Burocracia: O IPTU Verde é criticado por ser restrito a pessoas físicas (CPFs), excluindo empresas (CNPJs), e por sua burocracia excessiva. Os entrevistados defendem que o poder público abra espaço para um diálogo mais colaborativo e que simplifique os processos para destravar iniciativas privadas.",0.115,ENT-016,00:28:43,4.2.3,"Participação de conselhos, COMDEMA e sociedade civil",inexistente,alta,dialogo|poder|publico,O canal de diálogo entre setor privado organizado e administração ambiental é avaliado como insuficiente. Converge com a carta sem resposta de ENT-007 e as 25 propostas sem desdobramento de ENT-009 — três setores distintos relatando ausência de fluxo institucional de recepção e resposta a proposta externa. SESSÃO SEM TCLE.,,,,
35,Setor Privado,"3.2.2. Finanças: orçamento, financiamento e captação de recursos","Taxas de Juros e Capacidade Técnica: As principais barreiras para o investimento são a necessidade de taxas de juros subsidiadas, a carência de políticas públicas bem definidas e a falta de capacidade técnica nos municípios para elaborar projetos competitivos.",0.235,ENT-009,00:41:47,2.1.4,Capacidade de preparar projetos para financiamento,inexistente,media,barreiras|capacidade|investimento|projetos,"Duas barreiras alegadas à captação: risco de desvio e ausência de retorno eleitoral do investimento em prevenção. A segunda é estrutural e independe de qualquer juízo sobre a primeira — obra que evita dano não é visível, e por isso perde na disputa orçamentária. SESSÃO SEM TCLE.",,,,
